No.,Time,Source,Destination,Protocol,Length,Info,Label
6273,590.755133,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6278,590.75547,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6312,594.465514,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6317,594.46584,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6366,599.509079,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6367,599.509275,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6416,604.509138,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6417,604.519244,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
6422,604.519573,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
6426,604.519773,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
6473,609.559486,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
6474,609.559692,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
