No.,Time,Source,Destination,Protocol,Length,Info,Label
24029,2226.604029,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24034,2226.604367,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24038,2226.991383,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24090,2232.005635,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24091,2232.005839,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
24138,2236.747936,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24143,2236.748221,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24150,2237.204576,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24198,2242.205828,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24199,2242.206026,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
24243,2246.735118,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24248,2246.735497,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24255,2247.235952,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24305,2252.255791,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24306,2252.255984,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
24352,2256.923947,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24357,2256.924288,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24366,2257.389845,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24416,2262.406082,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24417,2262.406271,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
24463,2266.961141,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24468,2266.961461,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24475,2267.434872,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24525,2272.456069,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24526,2272.45626,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
24570,2277.020567,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24575,2277.020838,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24582,2277.478029,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24632,2282.506223,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24633,2282.506374,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
24681,2287.21385,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24686,2287.214187,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24692,2287.630568,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24744,2292.656415,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24745,2292.656605,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
24790,2297.243431,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24795,2297.243686,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24801,2297.659607,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24855,2302.7066,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24856,2302.706801,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
24901,2307.367311,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
24906,2307.367673,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
24912,2307.793679,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
24962,2312.806942,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
24963,2312.807154,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
25010,2317.565378,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
25015,2317.565698,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
25019,2317.877831,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
25069,2322.906913,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
25070,2322.907102,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
