No.,Time,Source,Destination,Protocol,Length,Info,Label
6035,523.588191,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6039,523.872166,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6041,523.877147,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6048,523.888572,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6102,528.888166,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6103,528.888358,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6155,533.800842,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6160,533.806117,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6212,538.838205,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6213,538.838355,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6267,543.888025,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6271,543.95436,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6274,543.960161,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6280,543.964402,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6330,548.988607,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6331,548.988805,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6385,553.964465,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6390,553.972167,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6444,558.988792,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6445,558.98899,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6498,564.029898,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6503,564.036811,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6556,569.038668,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6557,569.03885,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6614,574.088764,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6618,574.242408,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6621,574.248366,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6627,574.252583,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6679,579.28893,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6680,579.289117,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6734,584.254187,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6740,584.264234,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6791,589.289052,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6792,589.289239,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6814,590.835509,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6819,590.843408,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6855,594.359117,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6860,594.367394,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
6912,599.38939,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6913,599.38959,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6968,604.439162,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6973,604.583287,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
6975,604.588272,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
6982,604.593379,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7034,609.639601,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7035,609.639808,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7086,614.50969,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
7091,614.519708,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7143,619.538747,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7144,619.538958,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7202,624.589835,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7204,624.661587,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
7206,624.666468,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
7213,624.671008,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
7265,629.689566,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
7266,629.689759,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
