No.,Time,Source,Destination,Protocol,Length,Info,Label
55152,3409.323482,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
55157,3409.534893,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
55159,3409.539706,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
55166,3409.546785,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
55230,3414.573485,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
55231,3414.573613,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
55301,3419.045989,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
55306,3419.051136,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
55378,3424.073458,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
55379,3424.073635,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
55449,3429.123551,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
55450,3429.123716,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
55464,3429.765398,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
55469,3429.770453,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
55560,3438.660463,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
